StationId,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
DL034,2019-03-04,105.79,230.93,40.47,51.66,92.13,53.95,2.5,14.53,42.35,13.03,50.62,,204.0,Poor
JH001,2018-06-04,,144.27,15.56,8.46,,7.66,0.42,77.53,14.86,,,,116.0,Moderate
DL015,2018-03-21,155.21,320.24,26.35,72.51,71.36,50.97,1.59,25.35,11.21,2.06,6.29,,340.0,Very Poor
TN001,2020-01-19,23.71,,5.79,18.8,24.58,,0.6,3.8,16.86,0.0,0.09,,68.0,Satisfactory
TN003,2016-03-25,98.56,,2.51,6.0,7.64,174.56,0.77,5.55,,,,,222.0,Poor
TG002,2020-07-01,21.0,43.0,8.4,26.12,17.23,9.0,0.26,6.9,16.93,0.95,2.2,0.3,40.0,Good
DL037,2018-06-10,75.21,115.91,11.97,19.32,30.99,45.47,1.55,4.16,55.13,1.8,6.88,,146.0,Moderate
DL012,2019-07-31,28.86,77.97,13.22,30.37,42.31,,0.35,,22.33,,,,73.0,Satisfactory
BR007,2016-02-09,193.44,,34.27,28.69,62.96,,1.55,2.58,9.07,0.43,1.5,1.19,,
RJ006,2019-11-28,108.82,174.32,14.87,32.59,47.46,63.04,1.1,14.83,56.5,2.04,11.51,,193.0,Moderate
DL033,2018-11-04,76.3,,5.76,43.32,27.62,,0.68,2.63,59.47,1.14,3.99,,196.0,Moderate
KA006,2019-04-02,45.16,114.58,,48.93,,14.69,1.06,8.9,48.51,0.48,,,134.0,Moderate
TG004,2018-06-03,30.95,58.26,7.87,45.23,28.89,13.69,1.4,2.44,33.06,0.02,0.8,0.17,81.0,Satisfactory
TN004,2020-04-28,6.16,,8.96,1.6,9.6,,0.74,3.75,11.47,0.13,0.0,,43.0,Good
HR013,2020-05-19,74.62,117.96,1.14,2.79,0.59,,0.8,6.12,59.02,10.62,1.74,0.88,131.0,Moderate
DL037,2019-02-21,73.82,231.03,40.8,41.17,55.15,30.73,0.6,34.05,58.13,2.93,55.56,,184.0,Moderate
TN004,2016-01-07,64.78,,8.46,9.27,17.01,,3.79,3.65,16.39,,,,284.0,Poor
UP012,2015-03-27,,,13.89,32.47,6.24,,2.34,17.56,12.04,1.85,0.07,,,
DL009,2020-06-10,46.47,140.12,3.42,19.55,13.19,25.97,0.71,11.77,82.21,1.71,19.93,,186.0,Moderate
DL003,2018-12-19,257.97,357.76,49.86,71.45,78.69,35.24,2.44,26.3,38.53,13.2,62.79,,396.0,Very Poor
KA003,2016-08-26,29.31,,3.22,22.64,,,1.36,3.45,25.06,,,,,
DL022,2020-01-06,141.9,192.42,6.46,33.6,22.66,44.1,0.77,6.1,14.12,2.86,19.55,,319.0,Very Poor
KA011,2019-11-27,29.5,58.76,18.53,23.72,26.43,11.33,0.92,1.37,28.97,0.43,0.98,,69.0,Satisfactory
WB013,2019-09-27,20.54,45.28,10.02,38.3,48.34,5.45,1.16,3.13,18.02,12.15,10.06,,68.0,Satisfactory
KA009,2016-05-20,5.85,,1.13,7.25,4.67,7.84,1.12,6.46,,,1.12,,62.0,Satisfactory
GJ001,2018-07-04,302.08,,27.2,28.1,34.0,,27.2,46.94,0.88,5.26,43.43,0.65,440.0,Severe
DL027,2020-06-19,62.06,117.67,1.7,4.91,6.61,48.18,0.55,4.21,16.53,0.1,0.45,,78.0,Satisfactory
DL002,2019-10-28,356.85,543.34,212.35,127.93,253.18,96.78,3.08,23.19,8.43,3.41,11.27,,475.0,Severe
DL024,2018-08-26,18.74,71.24,5.83,20.35,13.53,23.81,0.86,8.03,23.81,0.49,16.23,,74.0,Satisfactory
DL002,2018-10-08,152.71,400.24,81.66,124.2,132.63,57.69,3.36,20.97,56.68,8.73,101.46,,366.0,Very Poor
UP012,2015-07-07,29.94,,3.41,7.9,6.24,,19.06,21.65,23.84,0.22,0.43,,312.0,Very Poor
RJ004,2018-03-14,42.84,147.41,11.46,46.41,57.87,20.86,0.78,7.99,35.24,0.78,,,123.0,Moderate
DL007,2018-05-15,63.68,159.48,13.79,34.05,47.84,,0.83,,48.14,0.0,0.0,0.0,129.0,Moderate
DL026,2019-04-21,78.06,140.94,60.59,46.38,74.1,19.92,1.1,14.3,13.18,4.29,29.68,,184.0,Moderate
KA009,2019-10-01,21.98,,3.08,34.06,36.93,23.65,1.11,4.95,,,1.11,,90.0,Satisfactory
UP013,2019-11-29,58.14,,19.3,39.46,35.97,,0.45,16.88,17.19,6.05,17.87,,173.0,Moderate
MH010,2020-06-16,9.98,15.98,2.5,7.27,9.77,3.79,0.51,3.23,7.37,0.98,,,31.0,Good
DL002,2016-08-15,,425.04,85.76,43.82,156.18,39.52,1.04,5.57,,5.2,15.4,,222.0,Poor
TN001,2017-03-20,29.53,,2.21,9.94,5.82,,,3.89,34.4,0.1,0.03,,109.0,Moderate
DL031,2016-06-18,77.7,175.57,4.63,42.74,44.39,47.31,0.94,14.49,50.24,1.27,4.49,,175.0,Moderate
DL009,2018-03-30,38.23,150.49,18.88,63.08,65.61,28.53,1.34,29.55,82.11,0.68,0.6,,166.0,Moderate
TG004,2020-01-01,36.85,64.1,30.16,28.36,33.44,4.28,0.48,3.37,22.64,0.0,0.0,0.0,74.0,Satisfactory
KL008,2018-03-05,46.58,94.17,1.62,13.94,8.7,7.11,1.05,8.75,53.78,,,,95.0,Satisfactory
WB013,2019-03-12,72.57,111.04,3.55,45.2,48.76,31.81,0.94,20.81,37.9,2.68,8.85,,129.0,Moderate
TG005,2019-03-03,34.93,,1.73,18.2,11.08,,0.39,4.23,25.59,1.47,1.96,0.05,58.0,Satisfactory
DL023,2019-06-27,84.4,266.36,1.75,27.09,15.83,36.05,1.24,26.46,59.78,1.77,66.97,,179.0,Moderate
DL016,2020-05-21,33.97,147.71,5.89,25.9,18.58,15.24,0.73,33.06,88.66,1.7,13.7,,142.0,Moderate
GJ001,2016-10-22,96.53,,9.03,10.8,19.83,,9.03,26.45,33.14,4.92,11.85,5.33,362.0,Very Poor
DL016,2019-12-06,273.04,404.81,197.9,108.65,220.15,51.1,2.63,10.02,29.82,9.68,74.07,,449.0,Severe
DL020,2019-12-23,180.73,253.85,20.39,24.23,29.53,65.34,1.34,10.8,15.36,4.07,55.89,,331.0,Very Poor
